HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18114695,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,5
18114695,2,3,1,3,4,nan,nan,nan,nan,nan,nan,3,5
18119342,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,1
18127925,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18128188,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18128188,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18139584,1,4,1,4,6,7,nan,nan,nan,nan,nan,3,1
18139584,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18140014,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18146045,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,7
18158452,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,4
18160621,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,6
18165668,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,9
18171375,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18178001,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,1,6
18179144,1,3,2,5,6,nan,nan,nan,nan,nan,nan,3,9
18179144,2,4,1,4,5,6,nan,nan,nan,nan,nan,3,9
18185311,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,5
18197280,1,4,2,3,4,5,nan,nan,nan,nan,nan,3,8
18235553,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
18235553,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,7
18237373,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18240028,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18246412,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18251273,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18253512,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18263603,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,3
18280746,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18282339,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,6
18282339,2,3,2,3,4,nan,nan,nan,nan,nan,nan,3,5
18295472,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18316703,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18318588,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18319179,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18324573,1,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,9
18328245,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18331913,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18335388,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,1
18335388,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
18335388,3,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
18340724,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18340724,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18360940,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,7
18377791,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18395115,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18396484,1,3,1,2,3,nan,nan,nan,nan,nan,nan,1,7
18409639,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18411063,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18414990,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18421685,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,9
18424321,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18431412,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18453899,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,6
18456641,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18464186,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18464186,2,2,1,6,nan,nan,nan,nan,nan,nan,nan,3,3
18464186,3,2,1,6,nan,nan,nan,nan,nan,nan,nan,3,3
18469707,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,3
18471650,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18471650,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18476049,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18476049,2,3,1,4,5,nan,nan,nan,nan,nan,nan,3,5
18477946,1,2,1,8,nan,nan,nan,nan,nan,nan,nan,3,7
18486852,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,3
18495332,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18497552,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18516902,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18523485,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18523485,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18527339,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,4
18527339,2,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,4
18528673,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,8
18540738,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
18558235,1,2,2,6,nan,nan,nan,nan,nan,nan,nan,3,4
18564949,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
18566381,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,4
18566381,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18572758,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,3
18586345,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18590560,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
18590643,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18595133,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,5
18595133,2,3,1,3,4,nan,nan,nan,nan,nan,nan,3,4
18595453,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,5
18595717,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18602579,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,9
18608853,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18608853,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18614087,1,3,1,4,5,nan,nan,nan,nan,nan,nan,3,7
18621030,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18621030,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18621031,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18631856,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18631856,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18646518,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
