coefficient_name,value,constrain
coef_unavailable,-999,T
coef_cars1_drivers_2,0.270609953,F
coef_cars1_drivers_3,0.13063862,F
coef_cars1_persons_16_17,-0.39178849,F
coef_cars1_persons_25_34,0.038493406,F
coef_cars1_num_workers_clip_3,-0.787519482,F
coef_cars1_hh_income_30_up,0.005223301,F
coef_cars1_density_0_10_no_workers,-0.11217099,F
coef_cars1_density_10_up_workers,-0.078356211,F
coef_cars34_persons_16_17,-1.390059125,F
coef_cars34_persons_18_24,-0.295121456,F
coef_cars2_persons_18_24,-0.338549751,F
coef_cars2_persons_16_17,-1.189212538,F
coef_cars34_persons_25_34,-0.48807543,F
coef_cars2_persons_25_34,-0.268131639,F
coef_cars1_persons_18_24,0.25183571,F
coef_cars34_density_0_10_no_workers,-0.570699433,F
coef_cars2_density_0_10_no_workers,-0.23206833,F
coef_cars34_density_10_up_no_workers,-383.9505316,F
coef_cars2_density_10_up_no_workers,-30.35122639,F
coef_cars2_density_10_up_workers,-0.003849988,F
coef_cars1_density_10_up_no_workers,-0.254003093,F
coef_cars2_hh_income_30_up,0.019163641,F
coef_cars3_hh_income_30_up,0.023114475,F
coef_cars4_hh_income_30_up,0.02757191,F
coef_cars1_presence_children_5_17,0.382762707,F
coef_cars1_hh_income_0_30k,0.083935973,F
coef_cars2_hh_income_0_30k,0.104610129,F
coef_cars3_hh_income_0_30k,0.111743838,F
coef_cars4_hh_income_0_30k,0.078903403,F
coef_cars2_presence_children_5_17,0.493438434,F
coef_cars2_num_workers_clip_3,0.202022817,F
coef_cars1_presence_children_0_4,-0.116378527,F
coef_cars1_auto_time_saving_per_worker,1.19025106,F
coef_cars34_presence_children_5_17,0.265475292,F
coef_cars3_auto_time_saving_per_worker,1.686381855,F
coef_cars2_auto_time_saving_per_worker,1.320471872,F
coef_cars3_num_workers_clip_3,0.515117804,F
coef_cars234_presence_children_0_4,0.133064339,F
coef_cars4_auto_time_saving_per_worker,1.467785691,F
coef_cars4_num_workers_clip_3,0.624456442,F
coef_cars1_drivers_4_up,-0.845471302,F
coef_cars4_drivers_2,2.406269157,F
coef_cars2_drivers_2,3.006981122,F
coef_cars3_drivers_2,2.922069881,F
coef_cars2_drivers_3,2.747217817,F
coef_cars4_drivers_3,3.96019276,F
coef_cars3_drivers_3,4.527775238,F
coef_cars2_drivers_4_up,2.08452081,F
coef_cars3_drivers_4_up,4.179326686,F
coef_cars4_drivers_4_up,4.942787564,F
coef_cars1_density_0_10_workers,0.038434421,F
coef_cars2_density_0_10_workers,-0.056830897,F
coef_cars34_density_0_10_workers,-0.287161387,F
coef_cars34_density_10_up_workers,-791.1804155,F
coef_cars1_retail_non_motor_no_workers,0.177916123,F
coef_cars2_retail_non_motor_no_workers,0.055884907,F
coef_cars34_retail_non_motor_no_workers,0.022518074,F
coef_cars1_retail_non_motor_workers,0.412656649,F
coef_cars2_retail_non_motor_workers,0.422239445,F
coef_cars34_retail_non_motor_workers,0.417189342,F
coef_cars1_retail_auto_no_workers,-0.041101874,F
coef_cars2_retail_auto_no_workers,-0.258781899,F
coef_cars34_retail_auto_no_workers,-0.422433553,F
coef_cars1_retail_auto_workers,-0.130858586,F
coef_cars2_retail_auto_workers,-0.488435246,F
coef_cars34_retail_auto_workers,-0.725118271,F
coef_cars1_retail_transit_no_workers,-0.471936705,F
coef_cars2_retail_transit_no_workers,-0.607674406,F
coef_cars34_retail_transit_no_workers,-0.576980159,F
coef_cars1_retail_transit_workers,-0.368402822,F
coef_cars2_retail_transit_workers,-0.561291527,F
coef_cars34_retail_transit_workers,-0.661791197,F
coef_cars1_univ_GQ,-3.562778707,F
