Description,Expression,M,N,H
Full-time worker alternative-specific constants,"@(df.ptype == FULL)",1.378734579,0.622662391,
Part-time worker alternative-specific constants,"@(df.ptype == PART)",-0.718823738,0.636032467,
University student alternative-specific constants,"@(df.ptype == UNIVERSITY)",2.353595176,0.609709846,
Non-working adult alternative-specific constants,"@(df.ptype == NONWORK)",-999,0.594645386,
Retired alternative-specific constants,"@(df.ptype == RETIRED)",-999,0.408202071,
Driving-age child who is in school ALTERNATIVE-specific constants,"@(df.ptype == DRIVING) & (df.is_student)",2.330918685,-0.599119112,
Pre-driving-age child who is in school alternative-specific constants,"@(df.ptype == SCHOOL) & (df.is_student)",3.295863529,0.57142434,
Pre-driving-age child who is in school interaction with age 6 to 9,"@(df.ptype == SCHOOL) & (df.age == 2) & (df.is_student)",-0.2943,,
Pre-driving-age child who is in school interaction with age 13 to 15,"@(df.ptype == SCHOOL) & (df.age == 3) & (df.is_student)",-0.7141,-0.672,
Pre-driving-age child who is too young for school alternative-specific constants,"@(df.ptype == PRESCHOOL)",1.052531189,-0.837567776,
# corrected tm1 age bug,,,,
#Pre-driving-age child who is too young for school interaction with age 0 to 1,"@(df.ptype == PRESCHOOL) & (df.age == 1)",-0.4515,,
Pre-driving-age child who is too young for school interaction with age 4 to 5,"@(df.ptype == PRESCHOOL) & (df.age == 1)",-0.6107,,
#,,,,
Full-time worker interaction with age less than 40,"@(df.ptype == FULL) & (df.age <= 7)",0.2091,,
Retired interaction with age more than 80,"@(df.ptype == RETIRED) & (df.age == 10)",,,0.7666
Full-time worker interaction with female gender,"@(df.ptype == FULL) & (df.sex == 2)",-0.1259,,
Non-working adult interaction with female gender,"@(df.ptype == NONWORK) & (df.sex == 2)",-0.743,,
Retired interaction with female,"@(df.ptype == RETIRED) & (df.female)",0.4769,,
Non-working adult interaction with more cars than workers,"@(df.ptype == NONWORK) & (df.auto_ownership > df.num_workers)",0.6515,0.8168,
Retired interaction with more cars than workers,"@(df.ptype == RETIRED) & (df.auto_ownership > df.num_workers)",2.992,1.056,
Pre-driving-age child who is too young for school interaction with more cars than workers,"@(df.ptype == SCHOOL) & (df.auto_ownership > df.num_workers)",,0.2991,
Full-time worker interaction with fewer cars than workers,"@(df.ptype == FULL) & (df.auto_ownership < df.num_workers)",,,0.5039
Non-working adult interaction with fewer cars than workers,"@(df.ptype == NONWORK) & (df.auto_ownership < df.num_workers)",,,0.8965
Retired interaction with fewer cars than workers,"@(df.ptype == RETIRED) & (df.auto_ownership < df.num_workers)",,,0.5496
Driving-age child who is in school interaction with fewer cars than workers,"@(df.ptype == DRIVING) & (df.auto_ownership < df.num_workers)",,,0.6475
Pre-driving-age child who is in school interaction with fewer cars than workers,"@(df.ptype == SCHOOL) & (df.auto_ownership < df.num_workers)",,,0.5862
Pre-driving-age child who is too young for school interaction with fewer cars than workers,"@(df.ptype == PRESCHOOL) & (df.auto_ownership < df.num_workers)",,,0.5061
Full-time worker interaction with income less than $20k,"@(df.ptype == FULL) & (df.income_segment == 1)",,,0.5313
Retired interaction with income less than $20k,"@(df.ptype == RETIRED) & (df.income_segment == 1)",,,0.533
Part-time worker interaction with income less than $20k,"@(df.ptype == PART) & (df.income_segment == 1)",,,0.3232
Part-time worker interaction with income between $50k and $100k,"@(df.ptype == PART) & (df.income_segment >= 3) & (df.income_segment <= 4)",,,-0.4032
Part-time worker interaction with income more than $100k,"@(df.ptype == PART) & (df.income_segment == 5)",,0.4207,-0.3534
Non-working adult interaction with income between $50k and $100k,"@(df.ptype == NONWORK) & (df.income_segment >= 3) & (df.income_segment <= 4)",,,-0.5602
