"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",1870348.75302142,"worktourmode1"
"10","Auto SOV","work",0,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",40298.5491284596,"worktourmode1"
"5","Auto SOV","work",1094.97528585193,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",302.953206412028,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",304388.151242583,"worktourmode2"
"10","Auto 2 Person","work",0,"worktourmode2"
"2","Auto 2 Person","work",342237.953239368,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",14146.3670265769,"worktourmode2"
"5","Auto 2 Person","work",961.760821477703,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",332.18725710163,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",144269.188383458,"worktourmode3"
"10","Auto 3+ Person","work",0,"worktourmode3"
"2","Auto 3+ Person","work",52085.2866638086,"worktourmode3"
"3","Auto 3+ Person","work",150208.092389231,"worktourmode3"
"4","Auto 3+ Person","work",9003.56470998659,"worktourmode3"
"5","Auto 3+ Person","work",572.820213684051,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",47.3316591102314,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"10","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",25233.9231832797,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"10","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",468.046175533655,"worktourmode5"
"5","Bike/Moped","work",20254.1822452317,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",15246.2152275622,"worktourmode6"
"10","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",9283.17907314228,"worktourmode6"
"3","Walk-Transit","work",3378.43498792053,"worktourmode6"
"4","Walk-Transit","work",16282.20869173,"worktourmode6"
"5","Walk-Transit","work",1699.33241192939,"worktourmode6"
"6","Walk-Transit","work",92249.8804824823,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",558.388581851493,"worktourmode6"
"9","Walk-Transit","work",0,"worktourmode6"
"1","Drive-Transit","work",6499.66902840048,"worktourmode7"
"10","Drive-Transit","work",0,"worktourmode7"
"2","Drive-Transit","work",2017.97561750869,"worktourmode7"
"3","Drive-Transit","work",1983.7916192292,"worktourmode7"
"4","Drive-Transit","work",4765.30108269319,"worktourmode7"
"5","Drive-Transit","work",140.151371113453,"worktourmode7"
"6","Drive-Transit","work",6823.62730375123,"worktourmode7"
"7","Drive-Transit","work",28005.9491339657,"worktourmode7"
"8","Drive-Transit","work",49.6438330558672,"worktourmode7"
"9","Drive-Transit","work",0,"worktourmode7"
