HH_ID,JTRIP_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,PERSON_10,PERSON_11,COMPOSITION
18117111,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,3,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,4,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,5,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,6,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18117111,7,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18118923,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18118923,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18118923,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18119982,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,3,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,4,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,5,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,6,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,7,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,8,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,9,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,10,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,11,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,12,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18120511,1,2,4,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
18120511,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
